id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
84455,Female,disloyal Customer,23,Business travel,Eco,290,3,4,3,3,5,,,,,,,,,,,,neutral or dissatisfied
90180,Male,Loyal Customer,61,Personal Travel,Eco,957,3,5,3,3,3,,,,,,,,,,,,neutral or dissatisfied
33002,Male,Loyal Customer,43,Personal Travel,Eco,163,4,5,0,5,1,,,,,,,,,,,,neutral or dissatisfied
124430,Female,Loyal Customer,28,Personal Travel,Eco,1262,2,4,2,4,4,,,,,,,,,,,,neutral or dissatisfied
93970,Female,Loyal Customer,39,Business travel,Business,1218,4,4,4,4,5,,,,,,,,,,,,satisfied
68638,Female,Loyal Customer,62,Business travel,Business,2059,0,0,0,2,2,,,,,,,,,,,,satisfied
95556,Female,Loyal Customer,19,Personal Travel,Eco Plus,441,1,1,1,3,5,,,,,,,,,,,,neutral or dissatisfied
129394,Male,Loyal Customer,60,Business travel,Business,236,5,5,5,5,4,,,,,,,,,,,,satisfied
101634,Female,disloyal Customer,29,Business travel,Business,1371,0,1,1,3,4,,,,,,,,,,,,satisfied
19206,Female,disloyal Customer,26,Business travel,Eco,459,3,5,3,3,3,,,,,,,,,,,,neutral or dissatisfied
71648,Female,Loyal Customer,32,Personal Travel,Eco,1197,2,4,2,5,2,,,,,,,,,,,,neutral or dissatisfied
22187,Male,Loyal Customer,29,Business travel,Business,1995,2,5,5,5,2,,,,,,,,,,,,neutral or dissatisfied
28445,Female,Loyal Customer,31,Personal Travel,Eco,2496,3,5,3,4,3,,,,,,,,,,,,neutral or dissatisfied
35528,Male,Loyal Customer,48,Personal Travel,Eco,972,2,4,3,1,3,,,,,,,,,,,,neutral or dissatisfied
92192,Male,Loyal Customer,59,Business travel,Business,2079,5,5,5,5,2,,,,,,,,,,,,satisfied
111567,Female,disloyal Customer,24,Business travel,Eco,794,3,3,3,4,5,,,,,,,,,,,,neutral or dissatisfied
85362,Female,Loyal Customer,35,Personal Travel,Eco Plus,689,2,4,1,5,3,,,,,,,,,,,,neutral or dissatisfied
8608,Male,Loyal Customer,45,Business travel,Business,1371,4,4,4,4,5,,,,,,,,,,,,satisfied
7062,Female,Loyal Customer,45,Business travel,Business,157,2,2,2,2,3,,,,,,,,,,,,satisfied
11672,Female,disloyal Customer,23,Business travel,Eco,395,2,0,3,5,4,,,,,,,,,,,,neutral or dissatisfied
8974,Female,Loyal Customer,31,Business travel,Business,725,2,2,2,2,5,,,,,,,,,,,,satisfied
41056,Male,Loyal Customer,60,Business travel,Eco Plus,1087,4,2,2,2,4,,,,,,,,,,,,satisfied
49609,Female,Loyal Customer,59,Business travel,Business,304,1,1,1,1,1,,,,,,,,,,,,satisfied
61628,Female,Loyal Customer,60,Business travel,Business,1303,3,3,2,3,5,,,,,,,,,,,,satisfied
38691,Male,Loyal Customer,42,Business travel,Business,2583,4,4,4,4,2,,,,,,,,,,,,satisfied
21344,Female,Loyal Customer,62,Business travel,Business,674,1,4,1,1,1,,,,,,,,,,,,satisfied
124720,Male,Loyal Customer,31,Personal Travel,Eco,399,3,5,3,3,3,,,,,,,,,,,,neutral or dissatisfied
2823,Female,Loyal Customer,41,Business travel,Business,409,3,3,3,3,5,,,,,,,,,,,,satisfied
101468,Male,Loyal Customer,41,Business travel,Business,345,4,4,4,4,5,,,,,,,,,,,,satisfied
60196,Male,Loyal Customer,23,Business travel,Business,1709,2,2,2,2,5,,,,,,,,,,,,satisfied
103008,Male,disloyal Customer,20,Business travel,Eco,546,2,0,3,2,3,,,,,,,,,,,,neutral or dissatisfied
123091,Male,Loyal Customer,26,Business travel,Eco,590,1,5,5,5,1,,,,,,,,,,,,neutral or dissatisfied
99465,Male,disloyal Customer,23,Business travel,Business,307,4,0,4,4,3,,,,,,,,,,,,satisfied
