iter	MultiRMSE
0	4.600263803
1	4.597627389
2	4.595432342
3	4.593151348
4	4.591323229
5	4.589768332
6	4.58761573
7	4.5859713
8	4.583967419
9	4.582528922
10	4.580651221
11	4.579324648
12	4.577607632
13	4.576313837
14	4.574790757
15	4.573545901
16	4.572449904
17	4.571460681
18	4.57005546
19	4.568794147
20	4.567740182
21	4.566458881
22	4.565534111
23	4.564704233
24	4.563849936
25	4.562620454
26	4.561640255
27	4.560457886
28	4.559463845
29	4.558799698
30	4.557978992
31	4.557430323
32	4.556449247
33	4.555578644
34	4.553785639
35	4.553305257
36	4.552077712
37	4.551049776
38	4.550649958
39	4.549963438
40	4.549367275
41	4.548721718
42	4.548180009
43	4.547534454
44	4.547189746
45	4.546316209
46	4.545416198
47	4.544677302
48	4.543840567
49	4.543350174
50	4.542710092
51	4.541447604
52	4.540833363
53	4.540205113
54	4.539919348
55	4.539405595
56	4.538817501
57	4.53703202
58	4.536509043
59	4.535631196
60	4.535284745
61	4.534890291
62	4.534378887
63	4.533811173
64	4.533185614
65	4.532968829
66	4.532008494
67	4.53152776
68	4.531042282
69	4.530231641
70	4.529845924
71	4.52939385
72	4.529097074
73	4.52863723
74	4.528202202
75	4.52784658
76	4.527401491
77	4.526930487
78	4.526239146
79	4.525809731
80	4.525471113
81	4.524491311
82	4.524079449
83	4.52332532
84	4.52248353
85	4.522092429
86	4.52171167
87	4.521383192
88	4.520949616
89	4.520678551
90	4.520250931
91	4.519933454
92	4.519600482
93	4.519023288
94	4.518566235
95	4.518304187
96	4.517876784
97	4.517582658
98	4.51717994
99	4.516576083
100	4.516271607
101	4.515437287
102	4.51499014
103	4.514565293
104	4.514345108
105	4.51376974
106	4.512858221
107	4.512442571
108	4.512008176
109	4.511400991
110	4.51110841
111	4.51077857
112	4.510425091
113	4.510179393
114	4.509928684
115	4.509305372
116	4.509022158
117	4.508498258
118	4.508205762
119	4.507918455
120	4.507352936
121	4.507013412
122	4.506713643
123	4.506461842
124	4.506134589
125	4.505617922
126	4.505362114
127	4.505115109
128	4.504857469
129	4.503920513
130	4.503599291
131	4.503359026
132	4.50309128
133	4.502953149
134	4.502773191
135	4.502263223
136	4.501928404
137	4.50171948
138	4.501318206
139	4.501086973
140	4.500782995
141	4.500361353
142	4.500052731
143	4.498882049
144	4.498617972
145	4.497963889
146	4.49754188
147	4.497093694
148	4.496823867
149	4.496496934
150	4.496167368
151	4.49601403
152	4.495760296
153	4.495121533
154	4.494595547
155	4.494330742
156	4.493914838
157	4.493613406
158	4.493139772
159	4.492845773
160	4.491295578
161	4.490594049
162	4.490187849
163	4.489660091
164	4.489336257
165	4.488814062
166	4.488467065
167	4.488093276
168	4.487109197
169	4.486754184
170	4.485905249
171	4.485617948
172	4.485381215
173	4.485085996
174	4.484711571
175	4.484498795
176	4.484223168
177	4.484027711
178	4.483816107
179	4.483590859
180	4.483276343
181	4.482245946
182	4.481694956
183	4.481467871
184	4.481145298
185	4.480981558
186	4.480763427
187	4.480109434
188	4.479873656
189	4.479666466
190	4.479363851
191	4.479129141
192	4.478804127
193	4.477971095
194	4.477750326
195	4.477509925
196	4.476888781
197	4.47666015
198	4.476425687
199	4.476271227
200	4.475979822
201	4.475724305
202	4.475558483
203	4.475408489
204	4.475013545
205	4.474639412
206	4.473801761
207	4.473669453
208	4.473198287
209	4.472809797
210	4.472575578
211	4.47240119
212	4.471891031
213	4.47141485
214	4.471247989
215	4.470972838
216	4.470683908
217	4.470507418
218	4.470299395
219	4.469813849
220	4.469523553
221	4.46938498
222	4.469155626
223	4.468943228
224	4.468695006
225	4.468494664
226	4.468088871
227	4.467646865
228	4.467374585
229	4.467115433
230	4.466311649
231	4.465988118
232	4.4657351
233	4.465488043
234	4.465061879
235	4.464917077
236	4.464737363
237	4.463663237
238	4.463365522
239	4.46319012
240	4.462980958
241	4.462704074
242	4.46233237
243	4.461831727
244	4.461635027
245	4.461477833
246	4.461152582
247	4.460920399
248	4.460383997
249	4.45990321
250	4.459535748
251	4.459311973
252	4.459116751
253	4.458685574
254	4.458512628
255	4.458381943
256	4.458260714
257	4.458022514
258	4.457769627
259	4.457594285
260	4.457106606
261	4.456766476
262	4.456557386
263	4.456422847
264	4.456021269
265	4.455788558
266	4.455386121
267	4.455056758
268	4.454615078
269	4.454404372
270	4.454067658
271	4.453754685
272	4.453499897
273	4.453316022
274	4.452940539
275	4.452520983
276	4.452352042
277	4.452092461
278	4.45192234
279	4.451777434
280	4.45135179
281	4.451060205
282	4.450613233
283	4.45012349
284	4.449938371
285	4.449529517
286	4.449261499
287	4.448862406
288	4.448477033
289	4.447793058
290	4.446689876
291	4.446449023
292	4.446313204
293	4.446000274
294	4.445644432
295	4.445387322
296	4.444894378
