iter	Passed	Remaining
0	155	46578
1	164	24531
2	173	17164
3	183	13551
4	183	10855
5	185	9072
6	193	8115
7	195	7131
8	204	6596
9	215	6250
10	224	5889
11	224	5391
12	232	5140
13	242	4960
14	251	4780
15	259	4612
16	264	4399
17	274	4305
18	283	4188
19	283	3974
20	292	3884
21	302	3818
22	311	3756
23	320	3683
24	330	3630
25	339	3576
26	347	3518
27	356	3467
28	367	3437
29	376	3389
30	377	3277
31	378	3171
32	387	3136
33	397	3109
34	405	3071
35	413	3035
36	414	2948
37	425	2932
38	433	2904
39	442	2875
40	452	2858
41	462	2839
42	470	2814
43	481	2801
44	490	2778
45	498	2754
46	507	2731
47	517	2716
48	525	2693
49	533	2668
50	543	2654
51	551	2631
52	560	2610
53	569	2594
54	578	2576
55	586	2557
56	594	2535
57	605	2526
58	613	2507
59	622	2488
60	631	2474
61	640	2458
62	648	2440
63	657	2424
64	667	2413
65	675	2395
66	683	2378
67	693	2365
68	702	2352
69	711	2336
70	720	2323
71	729	2309
72	737	2293
73	738	2255
74	747	2241
75	756	2230
76	765	2216
77	773	2201
78	783	2191
79	792	2179
80	800	2164
81	801	2131
82	810	2120
83	819	2107
84	828	2095
85	837	2083
86	846	2073
87	855	2059
88	863	2046
89	872	2034
90	881	2023
91	889	2010
92	897	1997
93	907	1988
94	908	1959
95	916	1947
96	924	1935
97	935	1927
98	944	1917
99	952	1905
100	962	1895
101	971	1885
102	979	1873
103	987	1861
104	997	1852
105	1005	1840
106	1013	1828
107	1023	1819
108	1032	1809
109	1033	1784
110	1041	1773
111	1050	1762
112	1059	1753
113	1068	1742
114	1076	1730
115	1086	1723
116	1094	1712
117	1103	1701
118	1112	1691
119	1121	1682
120	1129	1671
121	1138	1660
122	1148	1652
123	1157	1642
124	1165	1632
125	1167	1612
126	1178	1605
127	1186	1594
128	1195	1584
129	1205	1575
130	1213	1566
131	1222	1555
132	1231	1545
133	1240	1537
134	1249	1526
135	1258	1517
136	1268	1509
137	1277	1499
138	1285	1488
139	1293	1478
140	1301	1468
141	1309	1457
142	1318	1447
143	1329	1440
144	1337	1430
145	1346	1420
146	1356	1411
147	1365	1401
148	1373	1391
149	1382	1382
150	1392	1373
151	1400	1363
152	1408	1353
153	1417	1343
154	1425	1333
155	1433	1323
156	1442	1314
157	1452	1305
158	1460	1295
159	1469	1285
160	1479	1277
161	1487	1267
162	1495	1257
163	1504	1247
164	1512	1237
165	1513	1221
166	1521	1211
167	1530	1202
168	1540	1194
169	1548	1184
170	1557	1174
171	1567	1166
172	1568	1151
173	1577	1142
174	1585	1132
175	1595	1124
176	1604	1114
177	1612	1105
178	1621	1096
179	1631	1087
180	1639	1077
181	1648	1068
182	1659	1061
183	1668	1051
184	1676	1042
185	1684	1032
186	1693	1023
187	1701	1013
188	1710	1004
189	1720	996
190	1729	987
191	1737	977
192	1748	969
193	1756	959
194	1764	950
195	1765	936
196	1775	928
197	1784	919
198	1792	909
199	1800	900
200	1811	892
201	1820	883
202	1828	873
203	1838	865
204	1846	855
205	1854	846
206	1863	837
207	1873	828
208	1881	819
209	1889	809
210	1899	801
211	1909	792
212	1918	783
213	1927	774
214	1937	766
215	1946	756
216	1955	747
217	1964	738
218	1973	729
219	1982	720
220	1992	712
221	2001	703
222	2009	693
223	2019	685
224	2027	675
225	2036	666
226	2045	657
227	2054	648
228	2062	639
229	2070	630
230	2080	621
231	2088	612
232	2096	602
233	2106	594
234	2116	585
235	2124	576
236	2133	567
237	2143	558
238	2151	549
239	2160	540
240	2171	531
241	2179	522
242	2188	513
243	2197	504
244	2206	495
245	2215	486
246	2224	477
247	2234	468
248	2242	459
249	2251	450
250	2261	441
251	2270	432
252	2278	423
253	2287	414
254	2296	405
255	2305	396
256	2313	387
257	2324	378
258	2332	369
259	2340	360
260	2351	351
261	2359	342
262	2367	333
263	2377	324
264	2386	315
265	2395	306
266	2404	297
267	2414	288
268	2423	279
269	2431	270
270	2442	261
271	2450	252
272	2459	243
273	2468	234
274	2477	225
275	2486	216
276	2494	207
277	2504	198
278	2513	189
279	2522	180
280	2532	171
281	2540	162
282	2549	153
283	2558	144
284	2567	135
285	2575	126
286	2584	117
287	2597	108
288	2608	99
289	2617	90
290	2627	81
291	2635	72
292	2643	63
293	2652	54
294	2661	45
295	2669	36
296	2677	27
297	2686	18
298	2694	9
299	2702	0
