YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1950,-2.54,5.85,6.99,9.37,12.31,17.04,18.99,19.05,15.74,10.95,7.84,8.5,1.49,9.56,18.36,11.51,10.23
1951,4.14,6.19,5.49,11.15,13.73,17.57,19.38,17.86,16.43,11.85,8.38,3.87,6.28,10.12,18.27,12.22,11.72
1952,3.86,6.21,7.13,10.55,13.63,15.01,18.86,18.63,16.51,13.77,6.43,6.76,4.65,10.44,17.5,12.24,11.21
1953,8.25,5.95,7.49,9.63,12.85,14.45,18,18.49,16.77,13.17,9.56,7.12,6.99,9.99,16.98,13.17,11.78
1954,3.67,7.08,6.24,8.94,13.57,14.91,17.02,17.3,16.24,11.73,10.83,6.26,5.96,9.58,16.41,12.93,11.22
1955,5.38,4.86,5.37,8.39,11.78,15.83,17,17.49,15.3,11.62,5.23,4.96,5.5,8.51,16.77,10.72,10.38
1956,5.3,3.45,6.32,11.2,15.2,15.25,19.54,18.61,15.81,10.77,6.98,5.64,4.57,10.91,17.8,11.19,11.12
1957,1.4,5.24,7.96,11.14,15.48,16.82,17.63,17.53,18.13,11.46,7.45,7.54,4.09,11.53,17.33,12.35,11.32
1958,7.52,9.69,7.75,10.63,16.86,18.81,21.51,20.26,16.51,13.22,7.44,8.23,8.25,11.75,20.19,12.39,13.15
1959,5.96,6.07,7.84,10.85,13,16.39,20,17.91,15.21,12.19,7.7,5.67,6.75,10.56,18.1,11.7,11.78
1960,4.9,6.18,7.47,10.66,12.58,16.38,20.38,17.85,15.53,12.56,8.04,5.23,5.58,10.24,18.2,12.04,11.52
1961,7.54,7.98,8.43,9.44,13.19,18.55,20.55,21.28,15.93,11.56,6.57,5.17,6.92,10.35,20.13,11.35,12.19
1962,4.63,7.23,7.37,11.06,11.44,16.57,18.61,17.78,16.42,12.51,9.12,6.78,5.68,9.96,17.65,12.68,11.49
1963,2.16,10.08,7.63,9.78,15.01,16.2,17.6,18.82,18.25,13.21,7.64,5.6,6.34,10.81,17.54,13.03,11.93
1964,5.14,5.91,7.46,8.97,12.51,15.13,18.24,17.72,15.46,12.67,6.32,3.18,5.55,9.65,17.03,11.48,10.93
1965,5.3,6.82,9.06,10.43,11.77,16.73,20.6,19.48,15.37,14.29,10.42,5.43,5.1,10.42,18.94,13.36,11.95
1966,5.79,7.36,8.03,10.72,13.23,15.57,17.48,18.78,17.11,11.53,8.16,7.14,6.19,10.66,17.28,12.27,11.6
1967,6.5,6.75,6.37,8.81,13.75,17.8,19.49,22.07,19.06,13,8.85,5.67,6.8,9.64,19.79,13.64,12.47
1968,5.32,9.52,9.58,9.6,14.39,16.31,19.81,17.95,15.4,11.15,8.6,2.94,6.84,11.19,18.02,11.72,11.94
1969,0.98,6.09,8.64,9.74,14.82,18.29,18.51,18.14,16.43,11.72,8.45,7.7,3.34,11.07,18.31,12.2,11.23
1970,5.48,8.68,8.13,8.17,12.95,17.39,18.65,18.41,15.16,10.78,8.41,4.23,7.29,9.75,18.15,11.45,11.66
1971,4.64,6.1,5.55,9.78,12.88,13.63,18.99,20.21,14.57,10.9,8,3.43,4.99,9.4,17.61,11.16,10.79
1972,3.13,5.58,8.61,8.72,15.01,15.95,19.25,19.64,13.33,10.41,8.55,3.76,4.05,10.78,18.28,10.76,10.97
1973,4.11,6.97,7.1,9.6,13.96,15.54,18.54,16.79,16.95,11.59,6.88,7.26,4.95,10.22,16.96,11.81,10.98
1974,4.11,6.57,8.32,10.57,13.08,17.39,18.15,18.49,18.36,11.78,7.65,6.19,5.98,10.66,18.01,12.6,11.81
1975,4.13,5.27,6.43,8.05,12.92,16.3,20.11,17.73,17.58,11.18,7.55,5.65,5.2,9.13,18.05,12.1,11.12
1976,5.8,5.33,5.5,9.6,13.4,15.43,18.69,17.7,16.83,12.57,8.62,6.93,5.59,9.5,17.27,12.67,11.26
1977,4,9.14,7.5,11.87,12.37,17.11,18.29,20.14,14.83,11.1,6.48,5.52,6.69,10.58,18.51,10.8,11.65
1978,6.75,7.67,9.13,9.83,12.37,17.83,18.67,18.45,14.78,12.26,5,2.92,6.65,10.44,18.32,10.68,11.52
1979,3.11,5.58,9.51,10.33,13.88,16.83,19.55,18.31,17.56,12.88,7.16,7.28,3.87,11.24,18.23,12.53,11.47
1980,2.15,7.11,7.4,11.46,12.91,14.72,18.22,17.21,15.92,12.7,8.72,7.27,5.51,10.59,16.72,12.45,11.32
1981,7.44,7.34,9.9,10.34,13.19,14.75,17.96,20.61,16.7,11.08,8.97,5.95,7.35,11.14,17.77,12.25,12.13
1982,4.64,6.19,7.29,9.13,13.16,17.87,17.67,18.96,16.45,12.09,6.8,5.43,5.59,9.86,18.17,11.78,11.35
1983,7.76,8.88,10.21,10.96,14.85,16.08,17.95,19.26,15.17,11.5,9.33,2.88,7.36,12.01,17.76,12,12.28
1984,6.79,7.71,9.75,9.86,12.19,15.47,18.92,18.88,16.06,10.4,7.61,3.25,5.79,10.6,17.76,11.36,11.38
1985,3.43,4.48,6.87,10.12,13.29,16.17,20.92,19.01,15.1,11.35,2.71,2.91,3.72,10.09,18.7,9.72,10.56
1986,7.74,6.58,10.17,9.53,13.77,17.62,17.12,20.82,15.65,12.99,7.97,6.12,5.74,11.16,18.52,12.2,11.91
1987,5.29,8.5,10.01,11.68,14.45,17.57,18.47,19.56,17.55,13.79,9.79,4.61,6.64,12.05,18.53,13.71,12.73
1988,5.08,7.49,8.17,10.76,13.3,15.93,19.1,19.15,16.45,13.61,8.02,6.11,5.73,10.74,18.06,12.69,11.81
1989,5.35,2.76,7.11,12.5,13.92,17.93,18.64,19.07,18.4,12.32,8.9,6.64,4.74,11.18,18.55,13.21,11.92
1990,6.44,5.01,8.99,11.76,13.19,16.07,20.6,20.19,18.04,11.25,8.67,2.41,6.03,11.31,18.95,12.65,12.24
1991,5.04,9.34,7.36,10.09,13.01,15.52,19.92,19.82,17.75,12.21,9.12,7.12,5.6,10.15,18.42,13.03,11.8
1992,7.23,9.09,10.79,12.33,16.07,18.92,19.87,19.93,16.16,13.04,8.08,4.38,7.81,13.06,19.57,12.43,13.22
1993,3.87,6.33,9.57,10.91,15.96,16.46,16.8,19.21,17.19,13.21,5.76,5.46,4.86,12.15,17.49,12.05,11.64
1994,7.39,4.91,9.42,11.53,14.77,16.12,20.18,19.87,18.21,11.8,6.01,5.67,5.92,11.91,18.72,12.01,12.14
1995,8.23,7.98,9.04,11.22,15.86,17.31,19.7,17.43,18.03,11.62,9.75,6.04,7.29,12.04,18.15,13.13,12.65
1996,4.53,6.45,8.73,11.11,11.97,16.06,20.17,19.39,15.37,11.49,7.06,4.9,5.67,10.6,18.54,11.31,11.53
1997,5.92,6.37,7.96,10.41,15.4,16.11,18.89,20.72,17.64,11.6,9.99,6.17,5.73,11.26,18.57,13.08,12.16
1998,6.55,8.51,9,11.1,13.57,16.38,20.66,20.2,18.2,12.34,9.04,5.29,7.08,11.22,19.08,13.19,12.64
1999,6.44,6.74,7.73,10.08,11.92,15.42,17.8,19.11,16.9,12.09,9.74,6.45,6.16,9.91,17.44,12.91,11.61
2000,5.51,7.4,7.84,11.41,13.04,16.79,18.85,18.39,16.57,12.47,6.72,5.78,6.45,10.76,18.01,11.92,11.79
2001,6.48,5.74,8.37,9.8,13.91,15.14,17.84,19.15,16.36,11.43,9.08,6.21,6,10.69,17.38,12.29,11.59
2002,5.8,6.41,6.42,10.09,12.46,16.94,19.09,19.23,16.66,11.56,9.14,6.91,6.14,9.66,18.42,12.45,11.67
2003,8.43,6.13,9.02,10.17,13.46,17.91,20.7,19.89,17.79,13.14,6.81,6.22,7.16,10.88,19.5,12.58,12.53
2004,5.41,7.74,9.48,12.64,14.68,18.23,20.89,20.3,15.72,12.64,8.02,6.65,6.46,12.27,19.81,12.13,12.66
2005,6.44,6.7,10.3,11.24,15.39,16.34,19.46,20.13,16.1,13.04,6.88,6.38,6.6,12.31,18.64,12.01,12.39
2006,8.56,6.53,7.97,10.63,14.24,17.74,20.19,19.31,17.29,11.72,7.21,5.24,7.16,10.95,19.08,12.07,12.31
2007,3.8,6.94,8.88,10.82,14.12,16.21,20.34,19.13,15.98,10.77,7.32,4.82,5.33,11.27,18.56,11.36,11.63
2008,4.22,7.13,6.88,8.83,13.9,15.14,18.78,19.32,16.6,11.41,10.03,3.23,5.39,9.87,17.75,12.68,11.42
2009,4.42,5.86,5.89,10.05,13.98,18.15,21.31,19.16,17.39,11.76,8.62,3.79,4.5,9.97,19.54,12.59,11.65
2010,8.83,8.72,8.87,10.23,12.29,15.14,18.6,19.06,16.56,12.35,6.71,6.73,7.11,10.46,17.6,11.87,11.76
2011,5.97,4.56,7.85,8.06,11.83,15.75,18.4,19.33,18.3,11.75,6.67,4.53,5.75,9.25,17.83,12.24,11.27
2012,4.84,6.79,6.74,10.98,13.47,15.13,18.47,20.48,17.61,12.65,8.83,5.82,5.39,10.4,18.03,13.03,11.71
2013,4.01,7.45,9.02,10.65,14.95,18.38,20.19,20.98,17.65,11.11,9,4.49,5.76,11.54,19.85,12.59,12.43
2014,7.05,5.62,9.37,11.29,15.24,16.87,20.86,20.83,18.39,14.61,7.97,7.58,5.72,11.97,19.52,13.66,12.72
2015,7.45,9.51,10.49,10.97,15.29,20.06,22.01,20.61,16.06,14.21,6.81,6.32,8.18,12.25,20.89,12.36,13.42
2016,6.72,8.77,9.87,13.92,15.67,17.72,19.52,20.62,16.47,12.92,10.72,3.63,7.27,13.15,19.29,13.37,13.27
2017,3.53,5.38,8.08,10.58,14.63,17.43,19.83,21.48,18.38,12.03,8.38,4.7,4.18,11.1,19.58,12.93,11.95
